"","NUM_MANUALLY_CODED","NUM_CONSENSUS_CODED","NUM_PROBABILITY_CODED","PCT_CONSENSUS_CODED","PCT_PROBABILITY_CODED","PCT_CORRECTLY_CODED_CONSENSUS","PCT_CORRECTLY_CODED_PROBABILITY"
"1",9,18,8,200,88.8888888888889,77.7777777777778,55.5555555555556
"2",5,3,4,60,80,0,0
"3",66,65,64,98.4848484848485,96.969696969697,87.8787878787879,86.3636363636364
"4",24,25,26,104.166666666667,108.333333333333,87.5,87.5
"5",33,34,34,103.030303030303,103.030303030303,78.7878787878788,81.8181818181818
"6",27,24,22,88.8888888888889,81.4814814814815,77.7777777777778,70.3703703703704
"7",24,26,26,108.333333333333,108.333333333333,75,66.6666666666667
"8",4,5,6,125,150,50,50
"10",23,21,22,91.304347826087,95.6521739130435,73.9130434782609,73.9130434782609
"12",28,33,35,117.857142857143,125,60.7142857142857,64.2857142857143
"13",5,5,6,100,120,40,60
"14",8,8,9,100,112.5,75,75
"15",24,20,23,83.3333333333333,95.8333333333333,58.3333333333333,62.5
"16",16,16,19,100,118.75,50,68.75
"17",14,13,14,92.8571428571429,100,57.1428571428571,64.2857142857143
"18",19,16,16,84.2105263157895,84.2105263157895,78.9473684210526,78.9473684210526
"19",7,9,10,128.571428571429,142.857142857143,57.1428571428571,57.1428571428571
"20",52,52,50,100,96.1538461538462,80.7692307692308,82.6923076923077
"21",60,56,55,93.3333333333333,91.6666666666667,83.3333333333333,81.6666666666667
"99",1,0,0,0,0,0,0
